hurricane_name,date,severity,deaths,location,injuries,damage_billions,duration_days,event_trading_date,event_date_shift_days,spy_prev_5d_return,vix,energy_prev_5d_return,energy_20d_volatility,energy_volume_change,energy_drawdown,energy_beta,utilities_prev_5d_return,utilities_20d_volatility,utilities_volume_change,utilities_drawdown,utilities_beta,financials_prev_5d_return,financials_20d_volatility,financials_volume_change,financials_drawdown,financials_beta,industrials_prev_5d_return,industrials_20d_volatility,industrials_volume_change,industrials_drawdown,industrials_beta,energy_5d_abnormal_return,utilities_5d_abnormal_return,financials_5d_abnormal_return,industrials_5d_abnormal_return
Daniel (2000),2000-07-23,Category 3,0,Hawaiian Islands; Aleutian Islands,Not reported,0.0,13,2000-07-24,1,-0.02193691701064926,18.940000534057617,-0.022691327638655334,0.24620276966430565,-0.8158062773220689,-0.0790651107322724,0.2609479396616252,0.0,0.22129324919243332,-0.9817745136652534,-0.034482352735846544,0.32184476563660597,0.02038333354251387,0.208975529696774,-0.41141797274403635,-0.003017606946248974,0.7484737014950062,0.004709302153999895,0.1572910407583541,-0.9367922043718725,-0.0015600395258555944,0.7450097368336924,0.04527009142369309,0.017776707161454852,0.021361977959342915,-0.009501554216902242
Gilma (2000),2000-08-05,Category 1,0,None reported,Not reported,0.0,6,2000-08-07,2,0.02360160886862106,18.6200008392334,0.02783725407961324,0.2606640176986626,-0.8080798387870646,-0.029322145745381833,0.1254051279990342,0.03500823421899457,0.16234846467272748,-0.7009599864072721,-0.005426123824840534,0.38813580186371494,0.07194640418511233,0.2417458968328871,0.6911156126514035,0.0,0.8682154466350805,0.01741092656182852,0.19224689933411768,0.3151323455968038,-0.0275604960290593,0.7460856695925291,0.03486779575101595,-0.03295277675141017,0.007942626786407558,0.02907702145752067
Hector (2000),2000-08-10,Category 1,0,None reported,Not reported,0.0,6,2000-08-10,0,0.012663018765674439,19.18000030517578,0.037656592247002685,0.22502136236330755,-0.6015157071262682,0.0,0.09963711795739026,-0.028214862895033055,0.20703167819049365,0.2863601467201229,-0.04173330952583443,0.4232624715933893,0.034563792145797745,0.23772385393218007,0.9390424390301262,-0.006749065336037363,0.810006112312462,0.060639492375182735,0.21016200867996504,0.43220878421387643,0.0,0.7443314813875421,0.023310939859686908,-0.027551278571020688,-0.012822495289489977,-0.014430994389717622
Lane (2000),2000-09-05,Category 2,0,Socorro Island; Baja California Peninsula; Southwestern United States,Not reported,0.0,9,2000-09-05,0,0.004839457167754357,17.530000686645508,-0.001431249963719572,0.1901773736193141,-0.4417112880867603,-0.016447202912034276,0.24920725473855168,0.020833312683064653,0.18753477301160992,7.3178853415722624,-0.003745166788861498,0.3732598343746679,0.007874132954378998,0.21130858369360597,2.7526184777483165,-0.016465845565869164,0.7201511432523758,0.0004910063635112927,0.1316124712605122,-0.9228240674574818,0.0,0.780279284875043,0.05421827119769074,0.08419473567254177,0.05917807098109262,-0.0022241996777234707
Erin (2001),2001-09-01,Category 3,0,Bermuda; Atlantic Canada; East Coast of the United States,Not reported,0.0,14,2001-09-04,3,-0.035161757127717186,24.920000076293945,-0.028735542309982542,0.13647789130038598,-0.6678363592772607,-0.03331132263977843,0.33654050712823885,-0.021367347040745277,0.15338080555215047,-0.7567355479989537,-0.03218446380331952,0.5075605408309173,-0.02847624061775933,0.13840237932142757,0.7085173431608993,-0.06910021009145983,0.8267541509023162,-0.03499660291805695,0.1620625827430011,-0.7414448669201521,-0.04097792461566552,0.7408867252173555,0.058955981094721,0.07276330631265315,-0.007893882082259829,-0.04971077837479476
Felix (2001),2001-09-07,Category 3,0,None reported,Not reported,0.0,12,2001-09-07,0,-0.022503235389937037,28.610000610351562,0.002437011123776589,0.11812488971478925,-0.011178303096939679,-0.03095549157982269,0.3261146383792561,-0.002689034414439906,0.1419652507422509,-0.8476311403856837,-0.03543538994482942,0.4697781883215285,-0.03016514620159305,0.12884758583224487,1.7315701646828816,-0.08633119590214033,0.8235346414584235,-0.015217959404994152,0.16941401384733856,-0.5435189916538921,-0.06405008967924553,0.7313980575645073,-0.0319735203680217,0.1116466315366853,-0.010338037636174136,-0.08717333261977911
Gabrielle (2001),2001-09-11,Category 1,3,Florida; Newfoundland,Not reported,0.23,8,2001-09-17,6,-0.02971241159447724,31.84000015258789,-0.0010376690788871379,0.11714459376122632,1.332721175343341,-0.028600038602206945,0.27332283909957666,0.0013301443655748812,0.13064570398365047,-0.805146140394704,-0.009861709067091273,0.41519552686683797,-0.04625348787816852,0.13990447885868582,-0.12920703829570146,-0.10187143954977396,0.8193534168431396,-0.0413197424927737,0.16735994584401168,-0.7301638291037584,-0.08382443934036043,0.7698990778486298,-0.100742888393619,0.017666999324466803,0.001228690084157602,-0.0013082453093016255
Humberto (2001),2001-09-21,Category 2,0,Bermuda,Not reported,0.0,6,2001-09-21,0,-0.1030438588754855,43.7400016784668,-0.12677571531184884,0.2463194060117253,1.7488920267870873,-0.1488862374521558,0.424842710290497,0.0029883031686135375,0.1266808434512485,-0.799220111175641,-0.006902875674930753,0.33298087608265536,-0.10420867242059295,0.2332649222638969,-0.3972133902919174,-0.18579215961297957,0.8050817179623051,-0.17769379915584682,0.39921999195078217,1.1633384536610345,-0.24662315540770974,1.1260220597985116,-0.044096594204625195,-0.06913856491607273,0.05333855265609899,0.018186819277442146
Iris (2001),2001-10-04,Category 4,36,Windward Islands; Greater Antilles; Central America; Eastern Mexico,Not reported,0.25,5,2001-10-04,0,0.049672509726890635,31.34000015258789,0.058162338633934274,0.35972858522883855,-0.880739512116186,-0.08522870922555936,0.45842057649390566,0.05419628184701897,0.2184438272624515,-0.8386517033427853,0.0,0.3788362060071034,0.05493087396678176,0.3709281834510635,1.8862359054092273,-0.030727516444651104,0.9381187109639287,0.059689180768535355,0.5261043435295848,-0.27109014899774897,-0.11659112710517316,1.240934149689945,0.03172895697998612,-0.030191694420272808,-0.03456223275646686,0.0075629732774284975
Karen (2001),2001-10-12,Category 1,0,Bermuda; Atlantic Canada,Not reported,0.0014,3,2001-10-12,0,0.025832221537431144,31.5,0.04779377783084704,0.4100884396715794,-0.29101297955742134,-0.007264287700666561,0.5718245671327677,-0.00835819700245044,0.217777171329673,10.38675570395103,-0.01755542560760981,0.38813449728084043,0.0171707046701588,0.3880804477557128,-0.4323043120641814,-0.01854042937265621,0.9287007467161481,0.03223162228771792,0.5365569132743446,-0.22269161134580562,-0.039459659325765006,1.269379774316792,-0.028404835461800837,0.022010723795812592,0.01269316360966044,-0.009097224016717975
Michelle (2001),2001-10-29,Category 4,48,Greater Antilles; Central America; Florida; Bahamas; Bermuda,Not reported,2.43,7,2001-10-29,0,0.007764466896136968,28.420000076293945,0.02675996706305961,0.29714094101178734,-0.4669439904917546,-0.017537696582681672,0.5210557010547341,-0.024508313742970134,0.18680745849125052,0.37222288226208855,-0.06392849840475723,0.2596037535694767,0.023684950025910645,0.23885398973156766,-0.7024577372262182,0.0,0.9437417858494257,0.03420556526012386,0.2278970104972404,-0.6488375873841652,0.0,1.2699140824045438,-0.0797904742021891,-0.0258079397828459,0.0024592822656057667,-0.0062226502183275745
Noel (2001),2001-11-04,Category 1,0,None reported,Not reported,0.0,2,2001-11-05,1,0.016752567440838417,30.709999084472656,-0.04396349018165113,0.32807879325270783,0.9351813255523134,-0.0694490459256859,0.5310486431152902,-0.005317701035170486,0.17571130025927928,-0.6005932831867782,-0.07055330831114548,0.24903461523990483,0.010569390273403867,0.23428764024744209,-0.22030919521984282,-0.02509798362944282,0.9419811269263589,0.008889439003106014,0.27827652393694785,-0.6973224679860303,-0.028405306240935624,1.267519316869995,0.02231140102112783,-0.004784040532435974,-0.004322926607270405,-0.005092984320979932
Olga (2001),2001-11-24,Category 1,0,Bahamas; Greater Antilles; Florida,Not reported,0.0,10,2001-11-26,2,0.011542388498719136,23.25,0.030435103925553042,0.3693052772302576,-0.9578335636483569,-0.06926076190873842,0.4891605297669451,-0.00878126187583983,0.1254543074895528,-0.9692010170826917,-0.014664536600580536,0.1959483203950801,0.02119520063772362,0.23080259315533405,-0.8635569990698192,0.0,1.0009888164846255,0.009391116339131589,0.2435895423623875,-0.339622641509434,0.0,1.3285852143077121,0.02442143115811246,-0.0072985362952312505,-0.018833589256715966,-0.004955693681535367
Adolph (2001),2001-05-25,Category 4,0,None reported,Not reported,0.0,7,2001-05-25,0,-0.0008477550329724082,20.56999969482422,-0.029123664132739924,0.2207789931908666,-0.05615878575598365,-0.029123664132739924,0.4164237385106062,-0.003002677455438252,0.14658483930138652,-0.6327902767002844,-0.00658226851170729,0.2834000376387785,0.023951010464863698,0.1634185273592261,-0.5771892292895993,-0.0003446955419577069,0.9509550796377361,-0.010015033098529691,0.1822044222840824,0.44724977457168613,-0.019528632657102807,1.0259206146524593,0.020013955615983847,0.008687667556448342,0.013255852734680995,0.00015664789520142275
Dalila (2001),2001-07-08,Category 2,0,None reported,Not reported,0.0,6,2001-07-09,1,-0.028956393100897704,21.6299991607666,0.0013179103635836409,0.19997177332335409,-0.039069901883641345,-0.07839629652809732,0.07525821043705325,0.012840965126475812,0.20157362403620077,2.4187446259673258,-0.021085428571730236,0.14472121860564185,-0.015141421060581584,0.21959722258560418,0.14270525551235425,-0.04146711485260435,0.8379903578510399,-0.005882481289956609,0.1406301115764225,0.066536203522505,-0.06244721430167954,0.8803182560426537,-0.03447234016406453,-0.008124020858935932,-0.019842453488452483,-0.019194565368696348
